Word,Relative Frequency,Minimum Gap,Count
peeped,2.57e-07,,1
ennui,2.57e-07,,1
portly,2.63e-07,,1
thumped,2.63e-07,,1
sufficed,2.63e-07,,1
humdrum,2.69e-07,,1
freemason,2.69e-07,,1
coster,2.69e-07,,1
abbots,2.69e-07,,1
settee,2.75e-07,,1
redder,2.75e-07,,1
mantelpiece,2.82e-07,,1
featureless,2.88e-07,,1
derbies,2.88e-07,,1
endeavoured,3.02e-07,,1
lithe,3.02e-07,,1
farrington,3.16e-07,,1
incites,3.16e-07,,1
unbuttoned,3.24e-07,,1
forger,3.24e-07,,1
womanly,3.24e-07,,1
bashful,3.47e-07,,1
blotting,3.47e-07,,1
languid,3.47e-07,,1
embellish,3.55e-07,,1
relapsing,3.63e-07,,1
butted,3.8e-07,,1
obliging,4.07e-07,,1
chink,4.07e-07,,1
amply,4.07e-07,,1
tradesman,4.17e-07,,1
cordially,4.27e-07,,1
sleuth,4.27e-07,,1
tugged,4.37e-07,,1
genteel,4.37e-07,,1
footpaths,4.37e-07,,1
gipsy,4.47e-07,,1
glint,4.47e-07,,1
waistcoat,4.57e-07,,1
copier,4.68e-07,,1
bade,4.79e-07,,1
refreshingly,4.79e-07,,1
entitles,5.25e-07,,1
freemasonry,5.37e-07,,1
hurrying,5.37e-07,,1
attica,5.5e-07,,1
mopping,5.62e-07,,1
sovereigns,5.62e-07,,1
railed,5.62e-07,,1
clutched,5.62e-07,,1
makings,5.75e-07,,1
crouched,5.75e-07,,1
overcoat,5.89e-07,,1
dejected,5.89e-07,,1
writhing,6.03e-07,,1
boyish,6.17e-07,,1
frayed,6.31e-07,,1
londoners,6.46e-07,,1
cobbler,6.61e-07,,1
dingy,6.61e-07,,1
weve,6.61e-07,,1
coolness,6.61e-07,,1
bequest,6.92e-07,,1
berths,6.92e-07,,1
vex,7.08e-07,,1
gustave,7.08e-07,,1
chagrin,7.24e-07,,1
witted,7.24e-07,,1
complicates,7.24e-07,,1
imbecile,7.41e-07,,1
sighing,7.41e-07,,1
gash,7.41e-07,,1
shaven,7.59e-07,,1
mcfarlane,7.59e-07,,1
lounging,7.59e-07,,1
contemplative,7.76e-07,,1
puffed,7.94e-07,,1
wedged,7.94e-07,,1
introspective,7.94e-07,,1
devouring,7.94e-07,,1
misgivings,7.94e-07,,1
admirably,8.13e-07,,1
